transaction_time,window,is_workday,day_of_week,time_slot
2019-04-27 06:36:00,2nd canteen,0,5,79
2019-04-27 06:41:00,5th canteen,0,5,80
2019-04-27 06:41:00,2nd canteen,0,5,80
2019-04-27 06:42:00,5th canteen,0,5,80
2019-04-27 06:43:00,2nd canteen,0,5,80
2019-04-27 06:43:00,5th canteen,0,5,80
2019-04-27 06:44:00,2nd canteen,0,5,80
2019-04-27 06:45:00,2nd canteen,0,5,81
2019-04-27 06:46:00,2nd canteen,0,5,81
2019-04-27 06:47:00,5th canteen,0,5,81
2019-04-27 06:47:00,5th canteen,0,5,81
2019-04-27 06:47:00,2nd canteen,0,5,81
2019-04-27 06:47:00,5th canteen,0,5,81
2019-04-27 06:47:00,5th canteen,0,5,81
2019-04-27 06:47:00,5th canteen,0,5,81
2019-04-27 06:47:00,5th canteen,0,5,81
2019-04-27 06:47:00,5th canteen,0,5,81
2019-04-27 06:47:00,5th canteen,0,5,81
2019-04-27 06:48:00,5th canteen,0,5,81
2019-04-27 06:48:00,5th canteen,0,5,81
2019-04-27 06:48:00,5th canteen,0,5,81
2019-04-27 06:49:00,5th canteen,0,5,81
2019-04-27 06:49:00,2nd canteen,0,5,81
2019-04-27 06:49:00,2nd canteen,0,5,81
2019-04-27 06:49:00,5th canteen,0,5,81
2019-04-27 06:49:00,2nd canteen,0,5,81
2019-04-27 06:50:00,5th canteen,0,5,82
2019-04-27 06:50:00,2nd canteen,0,5,82
2019-04-27 06:50:00,5th canteen,0,5,82
2019-04-27 06:50:00,5th canteen,0,5,82
2019-04-27 06:50:00,5th canteen,0,5,82
2019-04-27 06:50:00,5th canteen,0,5,82
2019-04-27 06:50:00,2nd canteen,0,5,82
2019-04-27 06:50:00,2nd canteen,0,5,82
2019-04-27 06:50:00,5th canteen,0,5,82
2019-04-27 06:51:00,2nd canteen,0,5,82
2019-04-27 06:51:00,2nd canteen,0,5,82
2019-04-27 06:51:00,2nd canteen,0,5,82
2019-04-27 06:51:00,2nd canteen,0,5,82
2019-04-27 06:52:00,5th canteen,0,5,82
2019-04-27 06:52:00,5th canteen,0,5,82
2019-04-27 06:53:00,2nd canteen,0,5,82
2019-04-27 06:53:00,5th canteen,0,5,82
2019-04-27 06:53:00,2nd canteen,0,5,82
2019-04-27 06:53:00,5th canteen,0,5,82
2019-04-27 06:53:00,5th canteen,0,5,82
2019-04-27 06:53:00,5th canteen,0,5,82
2019-04-27 06:53:00,5th canteen,0,5,82
2019-04-27 06:54:00,5th canteen,0,5,82
2019-04-27 06:54:00,5th canteen,0,5,82
2019-04-27 06:55:00,5th canteen,0,5,83
2019-04-27 06:55:00,5th canteen,0,5,83
2019-04-27 06:55:00,2nd canteen,0,5,83
2019-04-27 06:55:00,2nd canteen,0,5,83
2019-04-27 06:55:00,2nd canteen,0,5,83
2019-04-27 06:56:00,2nd canteen,0,5,83
2019-04-27 06:56:00,2nd canteen,0,5,83
2019-04-27 06:56:00,2nd canteen,0,5,83
2019-04-27 06:56:00,2nd canteen,0,5,83
2019-04-27 06:56:00,5th canteen,0,5,83
