transaction_time,window,is_workday,day_of_week,time_slot
2019-04-17 01:54:00,2nd canteen,1,2,22
2019-04-17 02:08:00,2nd canteen,1,2,25
2019-04-17 02:14:00,2nd canteen,1,2,26
2019-04-17 02:17:00,2nd canteen,1,2,27
2019-04-17 02:17:00,2nd canteen,1,2,27
2019-04-17 02:20:00,2nd canteen,1,2,28
2019-04-17 02:21:00,2nd canteen,1,2,28
2019-04-17 02:21:00,2nd canteen,1,2,28
2019-04-17 02:23:00,2nd canteen,1,2,28
2019-04-17 02:23:00,2nd canteen,1,2,28
2019-04-17 02:24:00,2nd canteen,1,2,28
2019-04-17 02:24:00,2nd canteen,1,2,28
2019-04-17 02:24:00,2nd canteen,1,2,28
2019-04-17 02:25:00,2nd canteen,1,2,29
2019-04-17 02:25:00,2nd canteen,1,2,29
2019-04-17 02:26:00,2nd canteen,1,2,29
2019-04-17 02:27:00,2nd canteen,1,2,29
2019-04-17 02:27:00,2nd canteen,1,2,29
2019-04-17 02:27:00,2nd canteen,1,2,29
2019-04-17 02:30:00,2nd canteen,1,2,30
2019-04-17 02:30:00,2nd canteen,1,2,30
2019-04-17 02:30:00,2nd canteen,1,2,30
2019-04-17 02:31:00,2nd canteen,1,2,30
2019-04-17 02:31:00,2nd canteen,1,2,30
2019-04-17 02:31:00,2nd canteen,1,2,30
2019-04-17 02:32:00,2nd canteen,1,2,30
2019-04-17 02:32:00,2nd canteen,1,2,30
2019-04-17 02:32:00,2nd canteen,1,2,30
2019-04-17 02:33:00,2nd canteen,1,2,30
2019-04-17 02:33:00,2nd canteen,1,2,30
2019-04-17 02:33:00,2nd canteen,1,2,30
2019-04-17 02:33:00,2nd canteen,1,2,30
2019-04-17 02:34:00,2nd canteen,1,2,30
2019-04-17 02:34:00,2nd canteen,1,2,30
2019-04-17 02:34:00,2nd canteen,1,2,30
2019-04-17 02:34:00,2nd canteen,1,2,30
2019-04-17 02:35:00,2nd canteen,1,2,31
2019-04-17 02:35:00,2nd canteen,1,2,31
2019-04-17 02:35:00,2nd canteen,1,2,31
2019-04-17 02:36:00,2nd canteen,1,2,31
2019-04-17 02:36:00,2nd canteen,1,2,31
2019-04-17 02:36:00,2nd canteen,1,2,31
2019-04-17 02:36:00,2nd canteen,1,2,31
2019-04-17 02:37:00,2nd canteen,1,2,31
2019-04-17 02:37:00,2nd canteen,1,2,31
2019-04-17 02:37:00,2nd canteen,1,2,31
2019-04-17 02:38:00,2nd canteen,1,2,31
2019-04-17 02:38:00,2nd canteen,1,2,31
2019-04-17 02:38:00,2nd canteen,1,2,31
2019-04-17 02:39:00,2nd canteen,1,2,31
2019-04-17 02:40:00,2nd canteen,1,2,32
2019-04-17 02:40:00,2nd canteen,1,2,32
2019-04-17 02:40:00,2nd canteen,1,2,32
2019-04-17 02:40:00,2nd canteen,1,2,32
2019-04-17 02:40:00,2nd canteen,1,2,32
2019-04-17 02:41:00,2nd canteen,1,2,32
2019-04-17 02:41:00,2nd canteen,1,2,32
