transaction_time,window,is_workday,day_of_week,time_slot
2019-04-13 00:54:00,5th canteen,0,5,10
2019-04-13 06:19:00,2nd canteen,0,5,75
2019-04-13 06:21:00,2nd canteen,0,5,76
2019-04-13 06:22:00,2nd canteen,0,5,76
2019-04-13 06:22:00,2nd canteen,0,5,76
2019-04-13 06:23:00,2nd canteen,0,5,76
2019-04-13 06:23:00,2nd canteen,0,5,76
2019-04-13 06:23:00,2nd canteen,0,5,76
2019-04-13 06:23:00,2nd canteen,0,5,76
2019-04-13 06:23:00,2nd canteen,0,5,76
2019-04-13 06:24:00,2nd canteen,0,5,76
2019-04-13 06:24:00,2nd canteen,0,5,76
2019-04-13 06:24:00,2nd canteen,0,5,76
2019-04-13 06:25:00,2nd canteen,0,5,77
2019-04-13 06:26:00,2nd canteen,0,5,77
2019-04-13 06:26:00,2nd canteen,0,5,77
2019-04-13 06:32:00,2nd canteen,0,5,78
2019-04-13 06:37:00,2nd canteen,0,5,79
2019-04-13 06:37:00,2nd canteen,0,5,79
2019-04-13 06:37:00,2nd canteen,0,5,79
2019-04-13 06:37:00,2nd canteen,0,5,79
2019-04-13 06:37:00,2nd canteen,0,5,79
2019-04-13 06:38:00,2nd canteen,0,5,79
2019-04-13 06:38:00,2nd canteen,0,5,79
2019-04-13 06:38:00,2nd canteen,0,5,79
2019-04-13 06:39:00,2nd canteen,0,5,79
2019-04-13 06:39:00,2nd canteen,0,5,79
2019-04-13 06:39:00,2nd canteen,0,5,79
2019-04-13 06:39:00,2nd canteen,0,5,79
2019-04-13 06:39:00,2nd canteen,0,5,79
2019-04-13 06:39:00,2nd canteen,0,5,79
2019-04-13 06:40:00,2nd canteen,0,5,80
2019-04-13 06:40:00,2nd canteen,0,5,80
2019-04-13 06:40:00,2nd canteen,0,5,80
2019-04-13 06:42:00,2nd canteen,0,5,80
2019-04-13 06:43:00,2nd canteen,0,5,80
2019-04-13 06:43:00,2nd canteen,0,5,80
2019-04-13 06:43:00,2nd canteen,0,5,80
2019-04-13 06:45:00,2nd canteen,0,5,81
2019-04-13 06:46:00,2nd canteen,0,5,81
2019-04-13 06:46:00,2nd canteen,0,5,81
2019-04-13 06:47:00,2nd canteen,0,5,81
2019-04-13 06:47:00,2nd canteen,0,5,81
2019-04-13 06:47:00,2nd canteen,0,5,81
2019-04-13 06:49:00,2nd canteen,0,5,81
2019-04-13 06:49:00,2nd canteen,0,5,81
2019-04-13 06:50:00,2nd canteen,0,5,82
2019-04-13 06:51:00,2nd canteen,0,5,82
2019-04-13 06:51:00,2nd canteen,0,5,82
2019-04-13 06:52:00,2nd canteen,0,5,82
2019-04-13 06:52:00,2nd canteen,0,5,82
2019-04-13 06:52:00,2nd canteen,0,5,82
2019-04-13 06:52:00,2nd canteen,0,5,82
2019-04-13 06:52:00,2nd canteen,0,5,82
2019-04-13 06:52:00,2nd canteen,0,5,82
2019-04-13 06:52:00,2nd canteen,0,5,82
2019-04-13 06:53:00,2nd canteen,0,5,82
2019-04-13 06:53:00,2nd canteen,0,5,82
2019-04-13 06:53:00,5th canteen,0,5,82
2019-04-13 06:53:00,2nd canteen,0,5,82
2019-04-13 06:53:00,5th canteen,0,5,82
2019-04-13 06:53:00,2nd canteen,0,5,82
2019-04-13 06:53:00,2nd canteen,0,5,82
2019-04-13 06:54:00,5th canteen,0,5,82
2019-04-13 06:54:00,2nd canteen,0,5,82
2019-04-13 06:54:00,5th canteen,0,5,82
2019-04-13 06:54:00,2nd canteen,0,5,82
2019-04-13 06:54:00,5th canteen,0,5,82
2019-04-13 06:54:00,2nd canteen,0,5,82
2019-04-13 06:54:00,2nd canteen,0,5,82
