====================================================================================================
Detailed Report of 2019-04-25
====================================================================================================

Time Slot    Time Period          True         Predicted    Error        MSE          MAE         
----------------------------------------------------------------------------------------------------
0            00:00-00:04          0            6            6            31.14        6           
1            00:05-00:09          0            9            9            81.06        9           
2            00:10-00:14          0            4            4            13.38        4           
3            00:15-00:19          0            2            2            2.78         2           
4            00:20-00:24          0            1            1            2.13         1           
5            00:25-00:29          0            1            1            1.96         1           
6            00:30-00:34          0            1            1            1.46         1           
7            00:35-00:39          0            1            1            1.01         1           
8            00:40-00:44          0            1            1            0.76         1           
9            00:45-00:49          0            1            1            0.67         1           
10           00:50-00:54          0            1            1            0.70         1           
11           00:55-00:59          0            1            1            0.81         1           
12           01:00-01:04          0            1            1            1.61         1           
13           01:05-01:09          0            1            1            1.83         1           
14           01:10-01:14          0            1            1            2.03         1           
15           01:15-01:19          0            1            1            2.22         1           
16           01:20-01:24          0            2            2            2.38         2           
17           01:25-01:29          0            2            2            2.53         2           
18           01:30-01:34          0            2            2            2.66         2           
19           01:35-01:39          0            2            2            2.79         2           
20           01:40-01:44          0            2            2            2.91         2           
21           01:45-01:49          0            2            2            3.02         2           
22           01:50-01:54          0            2            2            3.14         2           
23           01:55-01:59          0            2            2            3.27         2           
24           02:00-02:04          0            2            2            3.39         2           
25           02:05-02:09          0            2            2            3.52         2           
26           02:10-02:14          0            2            2            3.64         2           
27           02:15-02:19          0            2            2            3.74         2           
28           02:20-02:24          0            2            2            3.82         2           
29           02:25-02:29          0            2            2            3.88         2           
30           02:30-02:34          0            2            2            3.90         2           
31           02:35-02:39          0            2            2            3.90         2           
32           02:40-02:44          0            2            2            3.88         2           
33           02:45-02:49          0            2            2            3.84         2           
34           02:50-02:54          0            2            2            3.78         2           
35           02:55-02:59          0            2            2            3.71         2           
36           03:00-03:04          0            2            2            3.62         2           
37           03:05-03:09          0            2            2            3.52         2           
38           03:10-03:14          0            2            2            3.41         2           
39           03:15-03:19          0            2            2            3.28         2           
40           03:20-03:24          0            2            2            3.14         2           
41           03:25-03:29          0            2            2            2.99         2           
42           03:30-03:34          0            2            2            2.83         2           
43           03:35-03:39          0            2            2            2.65         2           
44           03:40-03:44          0            2            2            2.47         2           
45           03:45-03:49          0            2            2            2.28         2           
46           03:50-03:54          0            1            1            2.08         1           
47           03:55-03:59          0            1            1            1.88         1           
48           04:00-04:04          0            1            1            1.68         1           
49           04:05-04:09          0            1            1            1.49         1           
50           04:10-04:14          0            1            1            1.29         1           
51           04:15-04:19          0            1            1            1.10         1           
52           04:20-04:24          0            1            1            0.93         1           
53           04:25-04:29          0            1            1            0.76         1           
54           04:30-04:34          0            1            1            0.61         1           
55           04:35-04:39          0            1            1            0.47         1           
56           04:40-04:44          0            1            1            0.35         1           
57           04:45-04:49          0            0            0            0.25         0           
58           04:50-04:54          0            0            0            0.17         0           
59           04:55-04:59          0            0            0            0.10         0           
60           05:00-05:04          0            0            0            0.06         0           
61           05:05-05:09          0            0            0            0.03         0           
62           05:10-05:14          0            0            0            0.01         0           
63           05:15-05:19          0            0            0            0.00         0           
64           05:20-05:24          0            0            0            0.00         0           
65           05:25-05:29          0            0            0            0.00         0           
66           05:30-05:34          0            0            0            0.01         0           
67           05:35-05:39          0            0            0            0.03         0           
68           05:40-05:44          0            0            0            0.10         0           
69           05:45-05:49          0            1            1            0.32         1           
70           05:50-05:54          0            1            1            0.90         1           
71           05:55-05:59          0            2            2            2.30         2           
72           06:00-06:04          0            2            2            5.36         2           
73           06:05-06:09          0            3            3            11.44        3           
74           06:10-06:14          0            5            5            22.27        5           
75           06:15-06:19          0            6            6            39.63        6           
76           06:20-06:24          0            8            8            64.81        8           
77           06:25-06:29          0            10           10           98.20        10          
78           06:30-06:34          6            12           6            33.62        6           
79           06:35-06:39          6            14           8            61.43        8           
80           06:40-06:44          13           16           3            7.75         3           
81           06:45-06:49          13           18           5            25.20        5           
82           06:50-06:54          10           20           10           109.89       10          
83           06:55-06:59          44           22           -22          470.25       22          
84           07:00-07:04          41           26           -15          228.25       15          
85           07:05-07:09          68           32           -36          1319.17      36          
86           07:10-07:14          66           50           -16          253.99       16          
87           07:15-07:19          144          66           -78          6026.46      78          
88           07:20-07:24          192          162          -30          930.01       30          
89           07:25-07:29          339          276          -63          3957.10      63          
90           07:30-07:34          529          405          -124         15367.83     124         
91           07:35-07:39          508          483          -25          628.23       25          
92           07:40-07:44          484          427          -57          3269.56      57          
93           07:45-07:49          400          346          -54          2944.01      54          
94           07:50-07:54          318          278          -40          1626.43      40          
95           07:55-07:59          183          206          23           524.13       23          
96           08:00-08:04          88           140          52           2753.87      52          
97           08:05-08:09          100          52           -48          2282.73      48          
98           08:10-08:14          99           41           -58          3329.37      58          
99           08:15-08:19          54           40           -14          197.46       14          
100          08:20-08:24          58           37           -21          451.54       21          
101          08:25-08:29          40           35           -5           27.43        5           
102          08:30-08:34          39           33           -6           31.67        6           
103          08:35-08:39          42           33           -9           84.60        9           
104          08:40-08:44          27           33           6            37.71        6           
105          08:45-08:49          33           33           0            0.08         0           
106          08:50-08:54          40           33           -7           51.54        7           
107          08:55-08:59          46           34           -12          152.50       12          
108          09:00-09:04          30           35           5            25.98        5           
109          09:05-09:09          22           34           12           146.57       12          
110          09:10-09:14          23           33           10           99.78        10          
111          09:15-09:19          22           32           10           109.34       10          
112          09:20-09:24          26           32           6            38.05        6           
113          09:25-09:29          36           32           -4           13.88        4           
114          09:30-09:34          66           33           -33          1082.86      33          
115          09:35-09:39          97           38           -59          3470.58      59          
116          09:40-09:44          99           57           -42          1746.86      42          
117          09:45-09:49          86           84           -2           2.43         2           
118          09:50-09:54          107          88           -19          362.80       19          
119          09:55-09:59          64           104          40           1606.10      40          
120          10:00-10:04          34           84           50           2518.34      50          
121          10:05-10:09          13           52           39           1501.44      39          
122          10:10-10:14          9            36           27           702.63       27          
123          10:15-10:19          19           33           14           194.35       14          
124          10:20-10:24          12           32           20           403.70       20          
125          10:25-10:29          8            31           23           539.67       23          
126          10:30-10:34          16           30           14           204.72       14          
127          10:35-10:39          10           30           20           411.87       20          
128          10:40-10:44          16           30           14           198.63       14          
129          10:45-10:49          29           30           1            1.66         1           
130          10:50-10:54          55           31           -24          557.18       24          
131          10:55-10:59          36           35           -1           0.64         1           
132          11:00-11:04          76           36           -40          1593.50      40          
133          11:05-11:09          67           49           -18          328.26       18          
134          11:10-11:14          78           58           -20          405.70       20          
135          11:15-11:19          115          70           -45          2053.31      45          
136          11:20-11:24          107          106          -1           1.67         1           
137          11:25-11:29          144          123          -21          439.50       21          
138          11:30-11:34          279          156          -123         15123.67     123         
139          11:35-11:39          383          322          -61          3721.29      61          
140          11:40-11:44          372          536          164          27012.00     164         
141          11:45-11:49          583          582          -1           1.04         1           
142          11:50-11:54          1075         710          -365         133374.08    365         
143          11:55-11:59          1173         872          -301         90885.76     301         
144          12:00-12:04          639          726          87           7612.57      87          
145          12:05-12:09          368          422          54           2959.90      54          
146          12:10-12:14          393          283          -110         11999.17     110         
147          12:15-12:19          327          263          -64          4143.22      64          
148          12:20-12:24          233          236          3            7.84         3           
149          12:25-12:29          160          177          17           289.32       17          
150          12:30-12:34          147          126          -21          450.05       21          
151          12:35-12:39          77           100          23           531.65       23          
152          12:40-12:44          78           70           -8           69.41        8           
153          12:45-12:49          68           52           -16          244.28       16          
154          12:50-12:54          76           45           -31          988.76       31          
155          12:55-12:59          31           46           15           232.25       15          
156          13:00-13:04          27           40           13           165.62       13          
157          13:05-13:09          12           35           23           538.59       23          
158          13:10-13:14          11           31           20           415.35       20          
159          13:15-13:19          13           30           17           291.38       17          
160          13:20-13:24          3            29           26           696.59       26          
161          13:25-13:29          4            28           24           591.79       24          
162          13:30-13:34          3            28           25           602.70       25          
163          13:35-13:39          3            27           24           576.73       24          
164          13:40-13:44          1            27           26           654.03       26          
165          13:45-13:49          3            26           23           536.11       23          
166          13:50-13:54          5            26           21           439.11       21          
167          13:55-13:59          1            26           25           622.24       25          
168          14:00-14:04          1            26           25           608.23       25          
169          14:05-14:09          0            25           25           645.52       25          
170          14:10-14:14          1            25           24           583.25       24          
171          14:15-14:19          3            25           22           483.22       22          
172          14:20-14:24          3            25           22           481.71       22          
173          14:25-14:29          2            25           23           523.70       23          
174          14:30-14:34          1            25           24           563.39       24          
175          14:35-14:39          3            25           22           463.60       22          
176          14:40-14:44          0            24           24           598.08       24          
177          14:45-14:49          1            24           23           538.44       23          
178          14:50-14:54          1            24           23           529.80       23          
179          14:55-14:59          5            24           19           355.70       19          
180          15:00-15:04          1            24           23           525.12       23          
181          15:05-15:09          0            24           24           562.08       24          
182          15:10-15:14          0            23           23           549.01       23          
183          15:15-15:19          3            23           20           408.16       20          
184          15:20-15:24          1            23           22           490.98       22          
185          15:25-15:29          1            23           22           483.24       22          
186          15:30-15:34          2            23           21           432.39       21          
187          15:35-15:39          0            23           23           514.20       23          
188          15:40-15:44          3            22           19           378.01       19          
189          15:45-15:49          0            22           22           500.63       22          
190          15:50-15:54          3            22           19           366.35       19          
191          15:55-15:59          5            22           17           291.03       17          
192          16:00-16:04          7            22           15           227.56       15          
193          16:05-16:09          17           22           5            26.57        5           
194          16:10-16:14          18           23           5            21.98        5           
195          16:15-16:19          31           23           -8           62.29        8           
196          16:20-16:24          28           24           -4           15.59        4           
197          16:25-16:29          31           27           -4           18.13        4           
198          16:30-16:34          36           29           -7           46.67        7           
199          16:35-16:39          46           32           -14          191.66       14          
200          16:40-16:44          48           37           -11          130.82       11          
201          16:45-16:49          51           40           -11          120.04       11          
202          16:50-16:54          59           43           -16          255.91       16          
203          16:55-16:59          39           47           8            63.11        8           
204          17:00-17:04          108          45           -63          4014.28      63          
205          17:05-17:09          113          60           -53          2827.66      53          
206          17:10-17:14          124          73           -51          2563.38      51          
207          17:15-17:19          135          90           -45          2014.56      45          
208          17:20-17:24          145          110          -35          1251.28      35          
209          17:25-17:29          161          126          -35          1200.15      35          
210          17:30-17:34          164          144          -20          383.83       20          
211          17:35-17:39          217          155          -62          3800.00      62          
212          17:40-17:44          187          191          4            16.86        4           
213          17:45-17:49          214          192          -22          487.97       22          
214          17:50-17:54          268          204          -64          4083.40      64          
215          17:55-17:59          230          232          2            3.62         2           
216          18:00-18:04          196          222          26           665.55       26          
217          18:05-18:09          179          196          17           305.66       17          
218          18:10-18:14          207          176          -31          964.18       31          
219          18:15-18:19          194          177          -17          293.10       17          
220          18:20-18:24          215          171          -44          1972.39      44          
