====================================================================================================
Detailed Report of 2019-04-29
====================================================================================================

Time Slot    Time Period          True         Predicted    Error        MSE          MAE         
----------------------------------------------------------------------------------------------------
0            00:00-00:04          0            6            6            33.39        6           
1            00:05-00:09          0            10           10           97.04        10          
2            00:10-00:14          0            4            4            17.03        4           
3            00:15-00:19          0            2            2            3.02         2           
4            00:20-00:24          0            1            1            1.96         1           
5            00:25-00:29          0            1            1            2.01         1           
6            00:30-00:34          0            1            1            1.82         1           
7            00:35-00:39          0            1            1            1.50         1           
8            00:40-00:44          0            1            1            1.27         1           
9            00:45-00:49          0            1            1            1.23         1           
10           00:50-00:54          0            1            1            1.43         1           
11           00:55-00:59          0            1            1            1.82         1           
12           01:00-01:04          0            2            2            3.70         2           
13           01:05-01:09          0            2            2            3.91         2           
14           01:10-01:14          0            2            2            4.33         2           
15           01:15-01:19          0            2            2            4.75         2           
16           01:20-01:24          0            2            2            5.11         2           
17           01:25-01:29          0            2            2            5.40         2           
18           01:30-01:34          0            2            2            5.63         2           
19           01:35-01:39          0            2            2            5.80         2           
20           01:40-01:44          0            2            2            5.94         2           
21           01:45-01:49          0            2            2            6.06         2           
22           01:50-01:54          0            2            2            6.17         2           
23           01:55-01:59          0            3            3            6.28         3           
24           02:00-02:04          0            3            3            6.40         3           
25           02:05-02:09          0            3            3            6.55         3           
26           02:10-02:14          0            3            3            6.73         3           
27           02:15-02:19          0            3            3            6.94         3           
28           02:20-02:24          0            3            3            7.20         3           
29           02:25-02:29          0            3            3            7.49         3           
30           02:30-02:34          0            3            3            7.79         3           
31           02:35-02:39          0            3            3            8.07         3           
32           02:40-02:44          0            3            3            8.30         3           
33           02:45-02:49          0            3            3            8.44         3           
34           02:50-02:54          0            3            3            8.50         3           
35           02:55-02:59          0            3            3            8.48         3           
36           03:00-03:04          0            3            3            8.39         3           
37           03:05-03:09          0            3            3            8.24         3           
38           03:10-03:14          0            3            3            8.06         3           
39           03:15-03:19          0            3            3            7.83         3           
40           03:20-03:24          0            3            3            7.58         3           
41           03:25-03:29          0            3            3            7.31         3           
42           03:30-03:34          0            3            3            7.02         3           
43           03:35-03:39          0            3            3            6.71         3           
44           03:40-03:44          0            3            3            6.40         3           
45           03:45-03:49          0            2            2            6.07         2           
46           03:50-03:54          0            2            2            5.74         2           
47           03:55-03:59          0            2            2            5.40         2           
48           04:00-04:04          0            2            2            5.07         2           
49           04:05-04:09          0            2            2            4.73         2           
