====================================================================================================
Detailed Report of 2019-04-27
====================================================================================================

Time Slot    Time Period          True         Predicted    Error        MSE          MAE         
----------------------------------------------------------------------------------------------------
0            00:00-00:04          0            7            7            43.84        7           
1            00:05-00:09          0            9            9            86.36        9           
2            00:10-00:14          0            4            4            18.14        4           
3            00:15-00:19          0            2            2            5.54         2           
4            00:20-00:24          0            2            2            4.12         2           
5            00:25-00:29          0            2            2            3.28         2           
6            00:30-00:34          0            2            2            2.34         2           
7            00:35-00:39          0            1            1            1.73         1           
8            00:40-00:44          0            1            1            1.45         1           
9            00:45-00:49          0            1            1            1.36         1           
10           00:50-00:54          0            1            1            1.38         1           
11           00:55-00:59          0            1            1            1.41         1           
12           01:00-01:04          0            2            2            2.29         2           
13           01:05-01:09          0            1            1            2.25         1           
14           01:10-01:14          0            1            1            2.24         1           
15           01:15-01:19          0            2            2            2.28         2           
16           01:20-01:24          0            2            2            2.35         2           
17           01:25-01:29          0            2            2            2.45         2           
18           01:30-01:34          0            2            2            2.57         2           
19           01:35-01:39          0            2            2            2.69         2           
20           01:40-01:44          0            2            2            2.82         2           
21           01:45-01:49          0            2            2            2.93         2           
22           01:50-01:54          0            2            2            3.02         2           
23           01:55-01:59          0            2            2            3.10         2           
24           02:00-02:04          0            2            2            3.16         2           
25           02:05-02:09          0            2            2            3.19         2           
26           02:10-02:14          0            2            2            3.20         2           
27           02:15-02:19          0            2            2            3.19         2           
28           02:20-02:24          0            2            2            3.17         2           
29           02:25-02:29          0            2            2            3.13         2           
30           02:30-02:34          0            2            2            3.08         2           
31           02:35-02:39          0            2            2            3.02         2           
32           02:40-02:44          0            2            2            2.95         2           
33           02:45-02:49          0            2            2            2.88         2           
34           02:50-02:54          0            2            2            2.79         2           
35           02:55-02:59          0            2            2            2.70         2           
36           03:00-03:04          0            2            2            2.60         2           
37           03:05-03:09          0            2            2            2.50         2           
38           03:10-03:14          0            2            2            2.39         2           
39           03:15-03:19          0            2            2            2.27         2           
40           03:20-03:24          0            1            1            2.14         1           
41           03:25-03:29          0            1            1            2.01         1           
42           03:30-03:34          0            1            1            1.87         1           
43           03:35-03:39          0            1            1            1.73         1           
44           03:40-03:44          0            1            1            1.58         1           
45           03:45-03:49          0            1            1            1.43         1           
46           03:50-03:54          0            1            1            1.28         1           
47           03:55-03:59          0            1            1            1.13         1           
48           04:00-04:04          0            1            1            0.98         1           
49           04:05-04:09          0            1            1            0.83         1           
50           04:10-04:14          0            1            1            0.69         1           
51           04:15-04:19          0            1            1            0.55         1           
52           04:20-04:24          0            1            1            0.43         1           
53           04:25-04:29          0            1            1            0.31         1           
54           04:30-04:34          0            0            0            0.22         0           
55           04:35-04:39          0            0            0            0.13         0           
56           04:40-04:44          0            0            0            0.07         0           
57           04:45-04:49          0            0            0            0.03         0           
58           04:50-04:54          0            0            0            0.00         0           
59           04:55-04:59          0            0            0            0.00         0           
60           05:00-05:04          0            0            0            0.00         0           
61           05:05-05:09          0            0            0            0.00         0           
62           05:10-05:14          0            0            0            0.00         0           
63           05:15-05:19          0            0            0            0.00         0           
64           05:20-05:24          0            0            0            0.00         0           
65           05:25-05:29          0            0            0            0.00         0           
66           05:30-05:34          0            0            0            0.00         0           
67           05:35-05:39          0            0            0            0.00         0           
68           05:40-05:44          0            0            0            0.00         0           
69           05:45-05:49          0            0            0            0.00         0           
70           05:50-05:54          0            0            0            0.00         0           
71           05:55-05:59          0            0            0            0.09         0           
72           06:00-06:04          0            1            1            0.70         1           
73           06:05-06:09          0            2            2            2.49         2           
74           06:10-06:14          0            3            3            6.55         3           
75           06:15-06:19          0            4            4            14.32        4           
76           06:20-06:24          0            5            5            27.26        5           
77           06:25-06:29          0            7            7            46.44        7           
78           06:30-06:34          0            8            8            72.19        8           
79           06:35-06:39          1            10           9            84.63        9           
80           06:40-06:44          6            12           6            34.73        6           
81           06:45-06:49          19           14           -5           28.61        5           
82           06:50-06:54          24           16           -8           68.72        8           
83           06:55-06:59          21           18           -3           10.98        3           
84           07:00-07:04          39           20           -19          380.05       19          
