====================================================================================================
Detailed Report of 2019-04-24
====================================================================================================

Time Slot    Time Period          True         Predicted    Error        MSE          MAE         
----------------------------------------------------------------------------------------------------
12           01:00-01:04          1            2            1            0.26         1           
13           01:05-01:09          0            2            2            2.58         2           
14           01:10-01:14          0            2            2            2.92         2           
15           01:15-01:19          1            2            1            0.62         1           
16           01:20-01:24          0            2            2            3.41         2           
17           01:25-01:29          0            2            2            3.61         2           
18           01:30-01:34          0            2            2            3.75         2           
19           01:35-01:39          0            2            2            3.87         2           
20           01:40-01:44          0            2            2            3.97         2           
21           01:45-01:49          0            2            2            4.07         2           
22           01:50-01:54          0            2            2            4.17         2           
23           01:55-01:59          0            2            2            4.28         2           
24           02:00-02:04          0            2            2            4.42         2           
25           02:05-02:09          0            2            2            4.57         2           
26           02:10-02:14          0            2            2            4.73         2           
27           02:15-02:19          0            2            2            4.90         2           
28           02:20-02:24          0            2            2            5.05         2           
29           02:25-02:29          0            2            2            5.18         2           
30           02:30-02:34          0            2            2            5.27         2           
31           02:35-02:39          0            2            2            5.32         2           
32           02:40-02:44          0            2            2            5.33         2           
33           02:45-02:49          0            2            2            5.30         2           
34           02:50-02:54          0            2            2            5.24         2           
35           02:55-02:59          0            2            2            5.16         2           
36           03:00-03:04          0            2            2            5.05         2           
37           03:05-03:09          0            2            2            4.92         2           
38           03:10-03:14          0            2            2            4.78         2           
39           03:15-03:19          0            2            2            4.62         2           
40           03:20-03:24          0            2            2            4.44         2           
41           03:25-03:29          0            2            2            4.24         2           
42           03:30-03:34          0            2            2            4.04         2           
43           03:35-03:39          0            2            2            3.82         2           
44           03:40-03:44          0            2            2            3.59         2           
45           03:45-03:49          0            2            2            3.35         2           
46           03:50-03:54          0            2            2            3.10         2           
47           03:55-03:59          0            2            2            2.85         2           
48           04:00-04:04          0            2            2            2.60         2           
49           04:05-04:09          0            2            2            2.35         2           
50           04:10-04:14          0            1            1            2.11         1           
51           04:15-04:19          0            1            1            1.86         1           
52           04:20-04:24          0            1            1            1.63         1           
53           04:25-04:29          0            1            1            1.41         1           
54           04:30-04:34          0            1            1            1.20         1           
55           04:35-04:39          0            1            1            1.01         1           
56           04:40-04:44          0            1            1            0.84         1           
57           04:45-04:49          0            1            1            0.68         1           
58           04:50-04:54          0            1            1            0.55         1           
59           04:55-04:59          0            1            1            0.44         1           
60           05:00-05:04          0            1            1            0.34         1           
61           05:05-05:09          0            1            1            0.27         1           
62           05:10-05:14          0            0            0            0.22         0           
63           05:15-05:19          0            0            0            0.19         0           
64           05:20-05:24          0            0            0            0.17         0           
65           05:25-05:29          0            0            0            0.19         0           
66           05:30-05:34          0            0            0            0.23         0           
67           05:35-05:39          0            1            1            0.35         1           
68           05:40-05:44          0            1            1            0.59         1           
69           05:45-05:49          0            1            1            1.08         1           
70           05:50-05:54          0            1            1            2.15         1           
71           05:55-05:59          0            2            2            4.37         2           
72           06:00-06:04          0            3            3            8.76         3           
73           06:05-06:09          0            4            4            16.80        4           
74           06:10-06:14          0            6            6            30.28        6           
75           06:15-06:19          0            7            7            50.84        7           
